log_id,shipment_id,container_id,sensor_id,timestamp,temperature_celsius,humidity_percent,location_latitude,location_longitude,location_description,alarm_triggered,alarm_type,operator_id,remarks
36,SHIP_1,CONT_1,SENSOR_1,2025-12-19 15:32:00,7.94,42.3,82.41207,-129.82741,Warehouse,FALSE,,OP_4,
37,SHIP_2,CONT_2,SENSOR_1,2025-12-19 15:37:00,7.81,40.7,-7.56125,-110.00073,Warehouse,FALSE,,OP_3,
38,SHIP_1,CONT_4,SENSOR_1,2025-12-19 15:42:00,7.98,40.5,-60.53190,111.45375,Warehouse,FALSE,,OP_8,
39,SHIP_1,CONT_5,SENSOR_1,2025-12-19 15:47:00,7.84,38.9,63.56801,-26.04473,Warehouse,FALSE,,OP_6,
40,SHIP_5,CONT_4,SENSOR_1,2025-12-19 15:52:00,8.00,45.6,80.25325,-167.17730,Warehouse,FALSE,,OP_10,
41,SHIP_1,CONT_3,SENSOR_1,2025-12-19 15:57:00,7.82,43.5,31.66984,-179.49961,Warehouse,FALSE,,OP_8,
42,SHIP_2,CONT_4,SENSOR_1,2025-12-19 16:02:00,8.00,40.4,1.69878,-131.73527,Warehouse,FALSE,,OP_4,
43,SHIP_4,CONT_1,SENSOR_1,2025-12-19 16:07:00,8.00,44.8,78.71825,120.16835,Warehouse,FALSE,,OP_10,
44,SHIP_3,CONT_5,SENSOR_1,2025-12-19 16:12:00,7.97,48.1,-8.76700,135.86720,Warehouse,FALSE,,OP_4,
45,SHIP_3,CONT_5,SENSOR_1,2025-12-19 16:17:00,7.84,33.6,-78.03156,-50.22838,Warehouse,FALSE,,OP_10,
46,SHIP_1,CONT_4,SENSOR_1,2025-12-19 16:22:00,8.00,43.6,-74.79454,67.69567,Warehouse,FALSE,,OP_4,
47,SHIP_5,CONT_5,SENSOR_1,2025-12-19 16:27:00,8.00,39.9,44.32338,-28.32573,Warehouse,FALSE,,OP_9,
48,SHIP_2,CONT_4,SENSOR_1,2025-12-19 16:32:00,7.88,49.5,21.47791,97.60964,Warehouse,FALSE,,OP_9,
49,SHIP_2,CONT_2,SENSOR_1,2025-12-19 16:37:00,7.71,45.6,38.85660,125.41429,Warehouse,FALSE,,OP_3,
50,SHIP_2,CONT_4,SENSOR_1,2025-12-19 16:42:00,7.75,35.8,9.53072,-38.30570,Warehouse,FALSE,,OP_10,
51,SHIP_3,CONT_5,SENSOR_1,2025-12-19 16:47:00,7.52,38.1,-28.49969,56.02072,Warehouse,FALSE,,OP_3,
52,SHIP_3,CONT_4,SENSOR_1,2025-12-19 16:52:00,7.52,46.1,16.13219,-138.50558,Warehouse,FALSE,,OP_7,
53,SHIP_1,CONT_2,SENSOR_1,2025-12-19 16:57:00,7.55,41.7,-17.21353,-98.38447,Warehouse,FALSE,,OP_6,
54,SHIP_5,CONT_5,SENSOR_1,2025-12-19 17:02:00,7.40,46.2,-62.72486,71.22215,Warehouse,FALSE,,OP_3,
55,SHIP_3,CONT_4,SENSOR_1,2025-12-19 17:07:00,7.11,37.5,46.93378,-38.02557,Warehouse,FALSE,,OP_5,
56,SHIP_2,CONT_4,SENSOR_1,2025-12-19 17:12:00,7.12,36.6,-64.38580,33.91270,Warehouse,FALSE,,OP_3,
57,SHIP_4,CONT_5,SENSOR_1,2025-12-19 17:17:00,7.22,40.2,-49.07183,-19.77220,Warehouse,FALSE,,OP_7,
58,SHIP_1,CONT_3,SENSOR_1,2025-12-19 17:22:00,7.05,40.7,-37.28865,36.69780,Warehouse,FALSE,,OP_6,
59,SHIP_4,CONT_2,SENSOR_1,2025-12-19 17:27:00,6.57,49.0,70.21097,77.28741,Warehouse,FALSE,,OP_7,
60,SHIP_5,CONT_1,SENSOR_1,2025-12-19 17:32:00,6.18,40.2,28.95010,-78.45050,Warehouse,FALSE,,OP_1,
61,SHIP_1,CONT_5,SENSOR_1,2025-12-19 17:37:00,6.22,36.0,25.96980,132.14927,Warehouse,FALSE,,OP_8,
62,SHIP_4,CONT_2,SENSOR_1,2025-12-19 17:42:00,6.48,47.0,-64.71134,137.38084,Warehouse,FALSE,,OP_5,
63,SHIP_2,CONT_4,SENSOR_1,2025-12-19 17:47:00,6.47,41.0,25.02489,25.82879,Warehouse,FALSE,,OP_2,
64,SHIP_1,CONT_2,SENSOR_1,2025-12-19 17:52:00,6.49,49.4,8.17092,12.49471,Warehouse,FALSE,,OP_5,
65,SHIP_4,CONT_1,SENSOR_1,2025-12-19 17:57:00,6.18,30.1,-47.27870,115.76263,Warehouse,FALSE,,OP_3,
66,SHIP_2,CONT_5,SENSOR_1,2025-12-19 18:02:00,9.54,48.7,51.27201,-32.47231,Warehouse,FALSE,,OP_6,
67,SHIP_5,CONT_3,SENSOR_1,2025-12-19 18:07:00,11.16,36.5,81.68612,137.72371,Warehouse,FALSE,,OP_4,
68,SHIP_4,CONT_5,SENSOR_1,2025-12-19 18:12:00,8.00,32.7,9.72282,-0.87976,Warehouse,FALSE,,OP_10,
69,SHIP_1,CONT_4,SENSOR_1,2025-12-19 18:17:00,7.83,37.5,-20.78216,-134.48617,Warehouse,FALSE,,OP_7,
70,SHIP_4,CONT_1,SENSOR_1,2025-12-19 18:22:00,8.00,49.9,52.86519,-33.68675,Warehouse,FALSE,,OP_4,
71,SHIP_4,CONT_2,SENSOR_1,2025-12-19 18:27:00,7.79,35.0,64.35950,84.32671,Warehouse,FALSE,,OP_4,
72,SHIP_3,CONT_5,SENSOR_1,2025-12-19 18:32:00,7.86,32.6,53.42920,-139.74894,Warehouse,FALSE,,OP_3,
73,SHIP_1,CONT_4,SENSOR_1,2025-12-19 18:37:00,8.00,38.3,31.53547,146.51677,Warehouse,FALSE,,OP_10,
74,SHIP_1,CONT_5,SENSOR_1,2025-12-19 18:42:00,8.00,44.4,8.04167,43.50957,Warehouse,FALSE,,OP_5,
75,SHIP_5,CONT_3,SENSOR_1,2025-12-19 18:47:00,7.98,41.8,75.49680,112.57135,Warehouse,FALSE,,OP_5,
76,SHIP_1,CONT_1,SENSOR_1,2025-12-19 18:52:00,7.67,47.8,-74.17275,-43.73751,Warehouse,FALSE,,OP_5,
77,SHIP_2,CONT_5,SENSOR_1,2025-12-19 18:57:00,7.65,34.2,-86.50740,-176.55102,Warehouse,FALSE,,OP_7,
78,SHIP_5,CONT_3,SENSOR_1,2025-12-19 19:02:00,7.95,39.1,8.21020,-149.58589,Warehouse,FALSE,,OP_5,
79,SHIP_2,CONT_5,SENSOR_1,2025-12-19 19:07:00,7.88,35.8,-22.61396,4.74375,Warehouse,FALSE,,OP_5,
80,SHIP_5,CONT_3,SENSOR_1,2025-12-19 19:12:00,7.69,43.4,53.80291,124.37829,Warehouse,FALSE,,OP_4,
81,SHIP_1,CONT_5,SENSOR_1,2025-12-19 19:17:00,8.00,45.5,-23.14792,64.63141,Warehouse,FALSE,,OP_9,
82,SHIP_3,CONT_1,SENSOR_1,2025-12-19 19:22:00,8.00,31.6,-31.67982,0.63432,Warehouse,FALSE,,OP_2,
83,SHIP_4,CONT_4,SENSOR_1,2025-12-19 19:27:00,8.00,39.0,-19.82385,-81.08559,Warehouse,FALSE,,OP_4,
84,SHIP_1,CONT_2,SENSOR_1,2025-12-19 19:32:00,8.00,46.4,-25.18266,-100.97465,Warehouse,FALSE,,OP_10,
85,SHIP_1,CONT_3,SENSOR_1,2025-12-19 19:37:00,8.00,43.2,88.73890,-22.51936,Warehouse,FALSE,,OP_9,
86,SHIP_3,CONT_2,SENSOR_1,2025-12-19 19:42:00,8.00,36.1,-10.00869,153.10664,Warehouse,FALSE,,OP_9,
87,SHIP_2,CONT_1,SENSOR_1,2025-12-19 19:47:00,8.00,48.8,31.71046,155.86328,Warehouse,FALSE,,OP_3,
88,SHIP_2,CONT_1,SENSOR_1,2025-12-19 19:52:00,7.69,49.0,12.35878,-47.22802,Warehouse,FALSE,,OP_2,
89,SHIP_2,CONT_2,SENSOR_1,2025-12-19 19:57:00,7.91,37.8,86.36250,168.17108,Warehouse,FALSE,,OP_8,
90,SHIP_4,CONT_3,SENSOR_1,2025-12-19 20:02:00,7.95,30.3,-8.10641,-70.20671,Warehouse,FALSE,,OP_5,
91,SHIP_3,CONT_5,SENSOR_1,2025-12-19 20:07:00,7.41,45.3,32.68375,139.02432,Warehouse,FALSE,,OP_3,
92,SHIP_3,CONT_1,SENSOR_1,2025-12-19 20:12:00,9.55,41.1,75.03838,-106.48916,Warehouse,FALSE,,OP_5,
93,SHIP_2,CONT_2,SENSOR_1,2025-12-19 20:17:00,8.00,43.6,-20.79714,55.31540,Warehouse,FALSE,,OP_7,
94,SHIP_5,CONT_5,SENSOR_1,2025-12-19 20:22:00,8.00,31.5,41.34555,-99.04716,Warehouse,FALSE,,OP_7,
95,SHIP_2,CONT_2,SENSOR_1,2025-12-19 20:27:00,7.49,44.1,-62.87446,51.53444,Warehouse,FALSE,,OP_9,
96,SHIP_2,CONT_1,SENSOR_1,2025-12-19 20:32:00,7.70,43.1,3.05443,-151.21362,Warehouse,FALSE,,OP_3,
97,SHIP_1,CONT_4,SENSOR_1,2025-12-19 20:37:00,7.79,41.4,84.41338,-122.81756,Warehouse,FALSE,,OP_4,
98,SHIP_3,CONT_1,SENSOR_1,2025-12-19 20:42:00,7.71,42.2,16.43442,-17.66881,Warehouse,FALSE,,OP_3,
99,SHIP_4,CONT_5,SENSOR_1,2025-12-19 20:47:00,7.30,35.9,-33.10029,-76.78115,Warehouse,FALSE,,OP_7,
100,SHIP_5,CONT_4,SENSOR_1,2025-12-19 20:52:00,7.14,46.4,63.55012,134.34147,Warehouse,FALSE,,OP_1,
101,SHIP_2,CONT_1,SENSOR_1,2025-12-19 20:57:00,6.89,33.9,12.35102,42.91523,Warehouse,FALSE,,OP_3,
102,SHIP_4,CONT_4,SENSOR_1,2025-12-19 21:02:00,6.83,45.7,-63.71676,97.68517,Warehouse,FALSE,,OP_7,
103,SHIP_3,CONT_5,SENSOR_1,2025-12-19 21:07:00,6.94,40.9,-17.16876,-102.60198,Warehouse,FALSE,,OP_6,
104,SHIP_2,CONT_1,SENSOR_1,2025-12-19 21:12:00,7.03,43.5,16.99233,-103.90770,Warehouse,FALSE,,OP_4,
105,SHIP_4,CONT_5,SENSOR_1,2025-12-19 21:17:00,6.97,38.4,84.25580,119.78926,Warehouse,FALSE,,OP_1,
106,SHIP_4,CONT_5,SENSOR_1,2025-12-19 21:22:00,7.01,43.9,36.18038,120.49282,Warehouse,FALSE,,OP_3,
107,SHIP_3,CONT_5,SENSOR_1,2025-12-19 21:27:00,7.27,30.4,-56.59148,91.07164,Warehouse,FALSE,,OP_6,
108,SHIP_1,CONT_4,SENSOR_1,2025-12-19 21:32:00,7.01,43.8,49.89902,-139.22442,Warehouse,FALSE,,OP_6,
109,SHIP_1,CONT_2,SENSOR_1,2025-12-19 21:37:00,6.97,37.4,71.63323,126.64981,Warehouse,FALSE,,OP_5,
110,SHIP_1,CONT_2,SENSOR_1,2025-12-19 21:42:00,7.09,39.3,-71.47103,-99.23128,Warehouse,FALSE,,OP_6,
111,SHIP_3,CONT_1,SENSOR_1,2025-12-19 21:47:00,6.91,31.3,-54.37652,5.67708,Warehouse,FALSE,,OP_1,
112,SHIP_1,CONT_3,SENSOR_1,2025-12-19 21:52:00,7.01,49.9,60.41501,-161.29406,Warehouse,FALSE,,OP_2,
113,SHIP_5,CONT_3,SENSOR_1,2025-12-19 21:57:00,7.06,40.6,7.07889,83.85797,Warehouse,FALSE,,OP_4,
114,SHIP_4,CONT_5,SENSOR_1,2025-12-19 22:02:00,6.44,30.2,-53.52330,-44.89276,Warehouse,FALSE,,OP_7,
115,SHIP_1,CONT_1,SENSOR_1,2025-12-19 22:07:00,6.69,32.8,4.60135,0.94651,Warehouse,FALSE,,OP_8,
116,SHIP_1,CONT_4,SENSOR_1,2025-12-19 22:12:00,6.35,45.7,-9.50465,-22.93140,Warehouse,FALSE,,OP_1,
117,SHIP_2,CONT_1,SENSOR_1,2025-12-19 22:17:00,6.47,39.5,13.82758,-24.79896,Warehouse,FALSE,,OP_5,
118,SHIP_2,CONT_5,SENSOR_1,2025-12-19 22:22:00,6.41,35.3,-22.36671,30.53201,Warehouse,FALSE,,OP_4,
119,SHIP_5,CONT_1,SENSOR_1,2025-12-19 22:27:00,6.38,48.3,-26.94651,11.70090,Warehouse,FALSE,,OP_6,
120,SHIP_5,CONT_1,SENSOR_1,2025-12-19 22:32:00,5.99,45.0,22.46850,-89.33284,Warehouse,FALSE,,OP_5,
121,SHIP_5,CONT_4,SENSOR_1,2025-12-19 22:37:00,6.02,47.8,33.64957,-43.40538,Warehouse,FALSE,,OP_4,
122,SHIP_4,CONT_5,SENSOR_1,2025-12-19 22:42:00,5.92,43.3,-52.74253,-156.06191,Warehouse,FALSE,,OP_1,
123,SHIP_3,CONT_2,SENSOR_1,2025-12-19 22:47:00,6.20,48.0,83.69509,-15.72851,Warehouse,FALSE,,OP_1,
124,SHIP_3,CONT_4,SENSOR_1,2025-12-19 22:52:00,5.82,49.4,-84.61617,40.84651,Warehouse,FALSE,,OP_3,
125,SHIP_2,CONT_1,SENSOR_1,2025-12-19 22:57:00,5.83,31.3,79.29998,-34.60154,Warehouse,FALSE,,OP_6,
126,SHIP_4,CONT_4,SENSOR_1,2025-12-19 23:02:00,5.61,30.8,34.89691,63.84928,Warehouse,FALSE,,OP_6,
127,SHIP_2,CONT_3,SENSOR_1,2025-12-19 23:07:00,5.55,34.0,47.06630,-90.00348,Warehouse,FALSE,,OP_2,
128,SHIP_1,CONT_1,SENSOR_1,2025-12-19 23:12:00,5.95,41.3,46.69171,-165.91903,Warehouse,FALSE,,OP_3,
129,SHIP_5,CONT_2,SENSOR_1,2025-12-19 23:17:00,10.76,39.3,-59.35368,8.50021,Warehouse,FALSE,,OP_3,
130,SHIP_3,CONT_4,SENSOR_1,2025-12-19 23:22:00,8.00,39.0,-44.04063,93.99224,Warehouse,FALSE,,OP_4,
131,SHIP_4,CONT_1,SENSOR_1,2025-12-19 23:27:00,8.00,44.4,-36.72726,63.79694,Warehouse,FALSE,,OP_7,
132,SHIP_1,CONT_4,SENSOR_1,2025-12-19 23:32:00,8.00,47.5,-19.58112,-108.02143,Warehouse,FALSE,,OP_6,
133,SHIP_2,CONT_4,SENSOR_1,2025-12-19 23:37:00,8.00,34.9,34.57115,-25.02621,Warehouse,FALSE,,OP_10,
134,SHIP_3,CONT_1,SENSOR_1,2025-12-19 23:42:00,7.57,30.0,-1.82841,-123.29112,Warehouse,FALSE,,OP_6,
135,SHIP_5,CONT_1,SENSOR_1,2025-12-19 23:47:00,7.60,32.5,49.40542,45.85346,Warehouse,FALSE,,OP_7,
136,SHIP_4,CONT_2,SENSOR_1,2025-12-19 23:52:00,7.71,30.8,35.27834,8.59860,Warehouse,FALSE,,OP_9,
137,SHIP_1,CONT_4,SENSOR_1,2025-12-19 23:57:00,7.85,34.2,-29.55224,-25.87004,Warehouse,FALSE,,OP_2,
138,SHIP_5,CONT_5,SENSOR_1,2025-12-20 00:02:00,7.82,47.9,60.38766,23.63297,Warehouse,FALSE,,OP_6,
139,SHIP_3,CONT_1,SENSOR_1,2025-12-20 00:07:00,7.58,31.2,77.99015,-92.81475,Warehouse,FALSE,,OP_9,
140,SHIP_4,CONT_1,SENSOR_1,2025-12-20 00:12:00,7.74,40.7,12.45293,-84.56045,Warehouse,FALSE,,OP_3,
141,SHIP_1,CONT_2,SENSOR_1,2025-12-20 00:17:00,7.49,47.4,71.30268,112.93504,Warehouse,FALSE,,OP_5,
142,SHIP_4,CONT_3,SENSOR_1,2025-12-20 00:22:00,7.47,49.7,27.77508,176.40627,Warehouse,FALSE,,OP_4,
143,SHIP_4,CONT_5,SENSOR_1,2025-12-20 00:27:00,8.87,47.7,-6.95377,152.89302,Warehouse,FALSE,,OP_9,
144,SHIP_3,CONT_2,SENSOR_1,2025-12-20 00:32:00,8.00,32.2,47.61703,154.57593,Warehouse,FALSE,,OP_4,
145,SHIP_2,CONT_1,SENSOR_1,2025-12-20 00:37:00,8.00,43.9,6.75316,87.92157,Warehouse,FALSE,,OP_1,
146,SHIP_5,CONT_4,SENSOR_1,2025-12-20 00:42:00,8.00,34.5,1.50221,158.68696,Warehouse,FALSE,,OP_3,
147,SHIP_3,CONT_2,SENSOR_1,2025-12-20 00:47:00,8.00,49.1,27.33680,-113.02300,Warehouse,FALSE,,OP_9,
148,SHIP_1,CONT_2,SENSOR_1,2025-12-20 00:52:00,9.54,47.4,-53.52000,72.37179,Warehouse,FALSE,,OP_5,
149,SHIP_4,CONT_4,SENSOR_1,2025-12-20 00:57:00,8.00,42.2,39.81589,105.96701,Warehouse,FALSE,,OP_1,
150,SHIP_4,CONT_3,SENSOR_1,2025-12-20 01:02:00,7.73,44.0,-60.07117,-20.13680,Warehouse,FALSE,,OP_3,
151,SHIP_4,CONT_3,SENSOR_1,2025-12-20 01:07:00,7.59,34.6,46.39254,-73.49108,Warehouse,FALSE,,OP_1,
152,SHIP_1,CONT_4,SENSOR_1,2025-12-20 01:12:00,7.39,37.9,63.06799,-9.75270,Warehouse,FALSE,,OP_2,
153,SHIP_2,CONT_1,SENSOR_1,2025-12-20 01:17:00,7.36,33.3,24.02173,126.76272,Warehouse,FALSE,,OP_3,
154,SHIP_1,CONT_3,SENSOR_1,2025-12-20 01:22:00,7.39,36.0,-16.41901,27.79961,Warehouse,FALSE,,OP_6,
155,SHIP_4,CONT_3,SENSOR_1,2025-12-20 01:27:00,7.25,44.3,-17.46611,-105.08438,Warehouse,FALSE,,OP_10,
156,SHIP_5,CONT_1,SENSOR_1,2025-12-20 01:32:00,7.04,30.2,-0.95531,52.45158,Warehouse,FALSE,,OP_8,
157,SHIP_1,CONT_5,SENSOR_1,2025-12-20 01:37:00,7.02,49.5,-45.75615,-111.19582,Warehouse,FALSE,,OP_2,
158,SHIP_4,CONT_3,SENSOR_1,2025-12-20 01:42:00,7.21,38.3,-32.94503,-102.81467,Warehouse,FALSE,,OP_6,
159,SHIP_2,CONT_4,SENSOR_1,2025-12-20 01:47:00,7.13,46.3,67.08526,117.45815,Warehouse,FALSE,,OP_9,
160,SHIP_5,CONT_4,SENSOR_1,2025-12-20 01:52:00,6.85,39.8,45.52328,25.88770,Warehouse,FALSE,,OP_1,
161,SHIP_4,CONT_1,SENSOR_1,2025-12-20 01:57:00,6.82,30.1,-78.02328,169.41224,Warehouse,FALSE,,OP_2,
162,SHIP_4,CONT_4,SENSOR_1,2025-12-20 02:02:00,7.27,34.9,8.10358,-121.89676,Warehouse,FALSE,,OP_6,
163,SHIP_4,CONT_3,SENSOR_1,2025-12-20 02:07:00,7.10,47.2,42.80878,-0.83270,Warehouse,FALSE,,OP_10,
164,SHIP_3,CONT_3,SENSOR_1,2025-12-20 02:12:00,7.15,45.5,56.87670,14.76337,Warehouse,FALSE,,OP_6,
165,SHIP_4,CONT_2,SENSOR_1,2025-12-20 02:17:00,7.02,44.5,-76.21329,121.64160,Warehouse,FALSE,,OP_5,
166,SHIP_4,CONT_1,SENSOR_1,2025-12-20 02:22:00,6.63,37.5,-4.83964,-107.95391,Warehouse,FALSE,,OP_3,
167,SHIP_2,CONT_4,SENSOR_1,2025-12-20 02:27:00,6.17,39.1,-84.16250,73.40494,Warehouse,FALSE,,OP_6,
168,SHIP_3,CONT_5,SENSOR_1,2025-12-20 02:32:00,6.27,30.4,62.42145,-126.15937,Warehouse,FALSE,,OP_9,
169,SHIP_2,CONT_4,SENSOR_1,2025-12-20 02:37:00,6.44,38.2,-46.69365,17.33445,Warehouse,FALSE,,OP_1,
170,SHIP_1,CONT_5,SENSOR_1,2025-12-20 02:42:00,6.54,42.2,57.48747,-116.54381,Warehouse,FALSE,,OP_8,
171,SHIP_5,CONT_3,SENSOR_1,2025-12-20 02:47:00,6.60,35.7,14.63773,-105.08370,Warehouse,FALSE,,OP_5,
172,SHIP_3,CONT_4,SENSOR_1,2025-12-20 02:52:00,6.12,45.9,26.18427,44.96564,Warehouse,FALSE,,OP_6,
173,SHIP_1,CONT_3,SENSOR_1,2025-12-20 02:57:00,5.69,42.5,12.96162,147.02935,Warehouse,FALSE,,OP_3,
174,SHIP_5,CONT_3,SENSOR_1,2025-12-20 03:02:00,5.39,33.5,27.87096,-175.24618,Warehouse,FALSE,,OP_2,
175,SHIP_4,CONT_5,SENSOR_1,2025-12-20 03:07:00,5.45,39.0,74.85041,-143.67812,Warehouse,FALSE,,OP_7,
176,SHIP_5,CONT_3,SENSOR_1,2025-12-20 03:12:00,5.46,34.7,60.26821,10.59236,Warehouse,FALSE,,OP_2,
177,SHIP_2,CONT_1,SENSOR_1,2025-12-20 03:17:00,5.34,45.5,50.90385,57.43740,Warehouse,FALSE,,OP_8,
178,SHIP_5,CONT_1,SENSOR_1,2025-12-20 03:22:00,8.73,42.4,64.61243,-161.63034,Warehouse,FALSE,,OP_1,
179,SHIP_5,CONT_3,SENSOR_1,2025-12-20 03:27:00,8.00,44.8,78.70032,144.88980,Warehouse,FALSE,,OP_1,
180,SHIP_5,CONT_1,SENSOR_1,2025-12-20 03:32:00,8.00,48.9,57.92875,-107.29031,Warehouse,FALSE,,OP_7,
181,SHIP_5,CONT_1,SENSOR_1,2025-12-20 03:37:00,8.00,34.5,0.94117,-125.49768,Warehouse,FALSE,,OP_8,
182,SHIP_3,CONT_1,SENSOR_1,2025-12-20 03:42:00,8.00,49.5,36.83796,60.59720,Warehouse,FALSE,,OP_7,
183,SHIP_5,CONT_1,SENSOR_1,2025-12-20 03:47:00,7.66,48.3,-30.08129,-65.33566,Warehouse,FALSE,,OP_7,
184,SHIP_5,CONT_5,SENSOR_1,2025-12-20 03:52:00,7.64,43.8,31.25275,175.67056,Warehouse,FALSE,,OP_8,
185,SHIP_2,CONT_2,SENSOR_1,2025-12-20 03:57:00,7.65,40.4,-42.46274,125.15607,Warehouse,FALSE,,OP_9,
186,SHIP_1,CONT_4,SENSOR_1,2025-12-20 04:02:00,7.58,34.2,-74.29972,-80.95768,Warehouse,FALSE,,OP_4,
187,SHIP_2,CONT_3,SENSOR_1,2025-12-20 04:07:00,7.28,30.3,-73.62349,-81.13485,Warehouse,FALSE,,OP_3,
188,SHIP_2,CONT_1,SENSOR_1,2025-12-20 04:12:00,7.71,47.1,35.40682,-62.59615,Warehouse,FALSE,,OP_6,
189,SHIP_1,CONT_3,SENSOR_1,2025-12-20 04:17:00,8.00,32.7,57.50650,-109.23527,Warehouse,FALSE,,OP_9,
